Title,Url,Date-Scraped,Date-Posted,Company,Location,applicant-num,Employment-type,Job-Function,Industries,Description
Machine Learning Data Scientist,https://www.linkedin.com/jobs/view/machine-learning-data-scientist-at-finesse-3431833620?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=lsUlPszVJAiBvyVefRCX%2Fw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:25.215672 MDT,2023-01-08,"
                FINESSE
              ","
              Los Angeles, CA
            ","
          97 applicants
        ","
          Full-time
        ","
            Engineering
          ","
          Software Development
          ","
About The RoleAt FINESSE, we pride ourselves in building the foundations of a consumer brain - one that understands consumer preferences and predicts trends. As our Machine Learning Engineer, you will creatively brainstorm new data sources, pipelines and algorithmic strategies to improve our trend prediction and demand forecasting. You will work alongside brilliant members of a world class team to build fascinating technology and you will leverage the latest techniques in AI and machine learning across network analysis, natural language understanding, time series analysis, computer vision and recommendation systems to optimize our decisions on what to design, how much of it to produce, and which rising social media influencers to work with.About YouYou can’t wait to apply your data and machine learning expertise to figure out what’s trending in culture and fashion in realtime and to eliminate the inefficiencies in fashion design and distribution that contribute to fashion being the second largest polluter in the world. You love social data and the messy nature of it and embrace the challenges of big data, performance and scalability, thinking for the long-term and setting up systems that benchmark progress, prevent regressions, and are easily maintainable by other collaborators. Above all, you’re excited to build something from the ground up that will touch the lives of millions of people worldwide.Recommended BackgroundExperience working with heavily alternative data setsExperience across NLP, sentiment analysis, network/graph analysis, time series analysis, reinforcement learning, computer vision with a deep specialization in one areaSolid statistical foundation and inspired creative mathematical understanding of real world problemsExperience building production-level machine learning systems Knowledge of technologies such as Tensorflow, Keras, Hadoop, Postgres, AWS, DockerWhat You’ll Love At FINESSEBeing at the forefront of and working towards creating a culture-defining new productA close-knit, extremely passionate & world class team excited about changing the face of fashionA diverse team and culture that values inclusivity and individuality as highest priorityCompany sponsored happy hours and outingsComprehensive benefits: Medical, dental and vision insurance; 401kPaid maternity and paternity leaveSponsored weekly team lunchesUnlimited PTOOur CultureFINESSE has a dreamer & doer culture. We envision the next age of fashion & consumer and then get to work to implement it, always thinking creatively, innovatively and collaboratively to create real change. We are energetic, highly creative and hungry for change that is both revolutionizing as well as ethical.The salary range for this position is $100,000 - $145,000
      "
Machine Learning Engineer (Remote),https://my.linkedin.com/jobs/view/machine-learning-engineer-remote-at-monetizemore-3431204378?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=B68HfcKXZGFjyrNdGEzxuw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:29.874897 MDT,2023-01-08,"
                MonetizeMore
              ","
              Bukit Banang Golf and Countries Club, Johore, Malaysia
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Internet Publishing
          ","
MonetizeMore builds industry-leading ad technology that is seen by more than 300M+ people per month. The company has been running for 12 years achieving consistent double-digit growth each year with a team of 280+ team members spread across the globe.MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire, and the arbitrary 9 to 5 work-day. Take your life back into your hands by joining the MonetizeMore team!What you’ll do:Build new algorithms and modeling techniques to advance the newest ideas in ad optimization. Leverage the large scale amount of data we collect, to improve the efficiency of the multi-billion advertising impression market on the Internet. Work will have a positive impact for millions of people.Who you are:Proven experience with production implementation. Building and maintaining the feedback loop between the ML model, collected data, re-running the model, and re-deploying the model in production.At least 4+ years of hands-on software engineering experience building complex solutions to real-world problems at scale.Strong practical experience on at least one Data Management Paradigm (Relational, Document or Graph)Experience with automated testing and continuous integration.Web development experience.Exposure to AWS or other cloud platforms.Experience working on an Agile team.Experience with Javascript for collecting user data.Experience developing advertising technologyHigh performance ratings on Kaggle or other public ML competitions.English language fluencyGood communication skills, self motivated.Degree in Computer Science, mathematics or related field with a specialization on machine learning or equivalent experience.What we offer:Competitive Salary: Our salary formula adjusts to your cost of living and experience.Work remotely: Live and work wherever you like!Flexible working hours: You have the autonomy to set your own scheduleRetreats: We meet in person for company get-togethers.Career Growth and Trainings If you think you are a good fit. Please apply on this side bar and give specific reasons what sets you apart. We hire individuals, not robots so don’t be afraid to show a little personality.We make hiring decisions based on your experience, skills and passion. Please note that interviews are conducted virtually.Powered by JazzHRkCCfvMz802
      "
Graduate Machine Learning Software Engineer,https://uk.linkedin.com/jobs/view/graduate-machine-learning-software-engineer-at-it-graduate-recruitment-3427998840?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=oZ66rAy4ut8gEBhFsVWdnQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:34.799634 MDT,2023-01-08,"
                IT Graduate Recruitment
              ","
              London, England, United Kingdom
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
Graduate Machine Learning Software Engineer - London (flexible 100% remote work or hybrid)Machine Learning Software Engineer, Data Science, Data Scientist, Computer Vision, Text Mining, Deep Learning, Python, C++, Big Data.An innovative and highly successful technology company is seeking exceptionally strong graduates from leading universities (Imperial, Cambridge University and Oxford University etc.) to join their talented and rapidly growing Machine Learning Software Engineering team.This is an opportunity to develop your skills and start your career within a company that offers huge potential for growth. You will be learning innovative technology whilst developing cutting-edge machine learning algorithms. The company is developing one of the leading software products within cybersecurity which have already won many awards and global competitions.IDEAL CANDIDATE Degree from a leading university (I.e. Imperial, Cambridge, Oxford) and standout academics Degree in Computer Science, Machine Learning, AI etc. preferred Some knowledge of Machine Learning will be beneficial but there is full training Strong programming skills Good software development practices.Please apply straight away if interested as this role will be very popular! Machine Learning Software Engineer, Data Science, Data Scientist, Computer Vision, Text Mining, Deep Learning, Python, C++, Big Data.Graduate Machine Learning Software Engineer - London (flexible 100% remote work or hybrid)
"
Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-fractal-3423241579?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=RY94WAoBR%2BXaItaD6Exdng%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:39.617394 MDT,2023-01-08,"
                Fractal
              ","
              Bangalore Urban, Karnataka, India
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Business Consulting and Services
          ","
        It's fun to work in a company where people truly BELIEVE in what they are doing!We're committed to bringing passion and customer focus to the business.Brief About The Team & FractalFractal Analytics is Leading Fortune 500 companies leverage Big Data, Analytics and technology to drive smarter, faster and more accurate decisions in every aspect of their business.Fortune 500 companies recognize analytics is a competitive advantage to understand customers and make better decisions. We deliver insight, innovation and impact to them through predictive analytics and visual story-telling.The Artificial Intelligence and Machine Learning (AIML) group at Fractal Analytics is actively involved in helping Fortune 500 companies by enabling them to discover how they can leverage their data using advanced and sophisticated AI/ML algorithms for which we are looking for Data Scientists with the capability to work on independent statistical and machine learning research/ projects. If you are a problem solver with a curiosity for exploring new techniques and technologies in AIML space, then we would like to talk with you.Job ResponsibilitiesAbility to understand a problem statement and implement analytical solutions & techniques independently with independently/proactively/thought-leadership.Work with stakeholders throughout the organization to identify opportunities for leveraging company/client data to drive business solutions.Fast learner: ability to learn and pick up a new language/tool/ platform quickly.Conceptualize, design, and deliver high-quality solutions and insightful analysis.Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems.Collaborate and Coordinate with different functional teams(engineering and product development) to implement models and monitor outcomes.Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer Segmentation & Targeting, Propensity Modeling, Churn Modeling, Lifetime Value Estimation, Forecasting, Recommender Systems, Modeling Response to Incentives, Marketing Mix Optimization, Price OptimizationExperience Required3+ years of expert level proficiency in Data Science, Machine learning & Python.Ability to create efficient solutions to complex problems. Strong skills in data-structures and Machine Learning algorithms.Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring and maintenance.Problem-solving: Ability to break the problem into small parts and applying relevant techniques to drive required outcomes.Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modeling, dimensionality reduction, SEM, GLM, GLMM, clustering, Deep learning etc. on a regular basis. If you know few of them you are good to go.Good To HaveExperience in one of the upcoming technologies like deep learning, NLP, image processing, recommender systemsExperience of working in on one or more domains:CPG: pricing and promotion analytics, marketing analytics, trade promotions, supply chain managementBFSI: cross-sell, up-sell, campaign analytics, treasury analytics, fraud detectionHealthcare: medical adherence, medical risk profiling, EHR data, fraud-waste-abuseExperience in working with Linux computing environment and use of command line tools like sed/awkGood grasp on databases including RDBMS, NoSQL, MongoDB etc.EducationB.E/B.Tech/M.Tech in Computer Science or related technical degree OR EquivalentLocation: Bangalore/Mumbai/Gurgaon/Pune/ChennaiIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!Not the right fit? Let us know you're interested in a future opportunity by clicking Introduce Yourself in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!
"
Machine Learning Specialist,https://ca.linkedin.com/jobs/view/machine-learning-specialist-at-local-logic-3400302659?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=ROZDTa2%2FCjaVVVcHQPywXw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:44.259452 MDT,2023-01-08,"
                Local Logic
              ","
              Montreal, Quebec, Canada
            ","
          106 applicants
        ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Software Development
          ","
Your MissionAs a Machine Learning specialist, you’ll be joining the Data team that is made up of data engineers, urban geospatial data experts as well as data science and machine learning developers. The team is responsible for building end-to-end machine learning solutions to be integrated in Local Logic’s next generation intelligence platform. The platform is used to create our location-based insights and predictions from large and diverse sources of data. It delivers value to our customers through APIs, some exposed externally, and some consumed by our Analytics Platform and our team of data scientists.You believe in our mission and want to help us achieve it. You bring your own unique perspective to the team, so you can challenge the way we do things for the better. You’re able to speak up when you disagree, ask questions when you don’t understand, and take ownership of your work.We’re a remote-enabled company, so if you want to work remotely once a week, twice a week, or five days a week, you’ll have all the necessary tools and support you need to do so.Key responsibilities:Analyzing and interpreting large and complex data sets using a variety of tools and techniques, including statistical analysis and machine learningDeveloping machine learning models, sometimes starting with a prototype created by a data scientist or from scratch from a hypothesis and dataWorking with product teams to identify customer needs that can be addressed using machine learningBuilding and maintaining machine learning pipelines, including tasks such as data cleaning, feature engineering, and model training and evaluationImplementing machine learning models in cloud production environments, including tasks such as deploying models to the cloud and setting up continuous integration and delivery (CI/CD) processesMonitoring and maintaining machine learning models in production, including tasks such as monitoring model performance and retraining models as neededParticipate in establishing and maintaining MLOps best practices and tool selectionRequirements:5+ years of machine learning and data science experience; startup industry experience is a plusStrong background in machine learning, statistics, and programmingSolid programming skills in Python with the ability to write production grade code that follows best practicesExperience with machine learning frameworks such as TensorFlow, PyTorch, or scikit-learnExperience with data analysis libraries such as Pandas, Numpy, Scipy, etc.Experience with data visualization libraries such as Matplotlib, Seaborn, Bokeh, Altair, etc.Experience with cloud Infrastructure (we use AWS)Familiarity with software engineering best practices and deployment toolsExcellent communication and collaboration skillsAdditional Nice To Haves:Experience with distributed compute engines such as Spark, Flink, Dask, etc.Experience working with geospatial data with tools such as Apache Sedona, Geopandas, etc.Experience with serverless architecturesExperience with infrastructure as code (we use AWS CDK)Experience with orchestration tools such as Apache Airflow, Dagster, Prefect, or AWS Step Functions (We use Dagster)Experience with MLflow or other MLOps model life-cycle management systemIf you are passionate about machine learning and have a track record of successful projects, we encourage you to apply for this exciting opportunity.
"
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-supernormal-3409134995?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=ZqcCGxei3Vt%2B0mpoS51MMQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:48.986008 MDT,2023-01-08,"
                Supernormal
              ","
              New York, United States
            ","
          170 applicants
        ","
          Full-time
        ","
            Engineering
          ","
          Technology, Information and Internet
          ","
About The RoleJoin a small and mighty team of engineers at Supernormal working on pulling the future of work closer to the present. Each engineer here is responsible for saving people thousands of hours of manual work every month, and we’re just getting warmed up.As a machine learning engineer, you’ll focus on building and improving the AI stack powering Supernormal’s productivity suite. You’ll work closely with our product engineers and designers to evolve the AI along with the product.What you’ll work onPrompt engineering using state-of-the-art techniques to improve the core meeting assistant scenariosFine tuning, assessing, and deploying large language modelsDeveloping and improving business and product metrics driven by the quality and cost of AI usageDesigning, training and deploying custom machine learning models to augment the AI stack, e.g. to manage transcript quality, compress text without losing semantic meaning, remove defects, incorporate semi-structured dataRequirementsWhat we’ll expect of youYou have a strong working background in machine learning, NLP, and large language modelsA collaborative and open outlook — we’re all about lifting each other up and getting better every day. You should be, too.A willingness to get deep into a problem even when it seems impossible. You’ll always have support from the team.Confidence operating with high agency. We’ll work together to decide what’s important, but we’d love for you to bring (and build!) your own ideas.You’ll leave “it works on my machine” at the door. You know better than to trust computers.You’ll come in willing to learn why things are the way they are, then suggest a better way.You’ll understand that there’s no difference between “my code” and “their code.” It’s our code and we’re all responsible for it.You’ll approach code review through a “how can the team level up?” lens — let’s all get better, together.What you can expect from usThe team’s full support. We’re a friendly bunch and are happy to pair, talk through, or otherwise assist any time.Honest and timely feedback. We’re all better when we can have candid conversations about what is and isn’t working.A deep willingness to listen to your ideas: how can the codebase, our product, or team be better?A respect for your time outside of work. We all work hard here, but we never forget to rest and have fun.BenefitsInterviewingWe know that interviewing is a deeply tiring and time consuming experience. To that end, we’d try to simplify our conversations as much as possible. Here’s what that looks like:Intro: you’ll speak to a founder and the Head of AI to discuss the role, your experience, and what working at Supernormal is likeML design: you’ll pair with an engineer for up to 45 minutes to tackle a fictional, but realistic ML problem. We’re most interested in understanding how you approach problems.Close: you’ll meet with another member of the team or two to chat through culture, your concerns or questions, and your ideas for Supernormal’s future.
"
Data Scientist Intern,https://www.linkedin.com/jobs/view/data-scientist-intern-at-yahoo-3407056800?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=CTvGMo8rPdDSbdImKdszdA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:53.903471 MDT,2023-01-08,"
                Yahoo
              ","
              United States
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Technology, Information and Internet
          ","
        It takes powerful technology to connect our brands and partners with an audience of nearly 900 million. Whether you’re looking to write mobile app code, engineer the servers behind our massive ad tech stacks, or develop algorithms to help us process trillions of data points a day, what you do here will have a huge impact on our business—and the world. Want in?We're looking for world-class, data geeks to join our team where you will have the opportunity to build on top of our world-class advertising data systems to drive new insights around campaign effectiveness, sales forecasting, and advertising platform robustness.As a Data Scientist you will leverage the latest machine learning and data science techniques to produce validated solutions for us in our advertising platforms to help drive revenue and sales.Your DayExploring large data sets for relationships, insights, and anomaliesExplore and build machine learning models to explain the past or predict the futureDerive actionable insights from data to drive data-driven decisionsWork with product managers and engineers to tackle business challenges on advertising domainYou Must HaveCurrently pursuing M.S. in Computer Science, Control Theory, Electrical Engineering, Statistics, Applied Mathematics, or a related quantitative fieldThe ability to excel in abstract and statistical thinking while deeply grounded in solid business judgmentInterpersonal communication and relationship skills including the ability to explain complex analytical concepts to non-expertsData Science experience in solving classification and clustering problems on the web, performing information retrieval from unstructured and semi-structured data set, and building supervised and semi-supervised learning solutions, recommendation engines and user behavior modeling (Personalization)Proficient programming skills in languages and frameworks such as Java, Python, and RExperience with big data technologies such as Hadoop (Pig/Hive), Spark, or other related technologiesYahoo is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Yahoo is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form (www.yahooinc.com/careers/contact-us.html) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.At Yahoo, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion (www.yahooinc.com/diversity/) page to learn more.US Only: Please be aware that Yahoo requires all employees entering a U.S. Yahoo office and/or attending a company event (including client events) are required to be vaccinated for COVID-19. This position will require the successful candidate to obtain and show proof of a vaccination to enter a U.S. Yahoo office and/or attending a company event (including client events). Yahoo is an equal opportunity employer, and will provide reasonable accommodation to those individuals who are unable to be vaccinated consistent with federal, state, and local law.The compensation for this position ranges from $45,760.00 - $135,200.00/yr and will vary depending on factors such as your location, skills and experience. The compensation package may also include incentive compensation opportunities in the form of discretionary annual bonus or commissions, in addition to equity incentives. Yahoo provides industry-leading benefits including healthcare, 401K savings plan, company holidays, vacation, sick time, parental leave and an employee assistance program. Eligibility requirements apply.Yahoo has a high degree of flexibility around employee location and hybrid working. In fact, our flexible-hybrid approach to work is one of the things our employees rave about. Most roles don’t require specific regular patterns of in-person office attendance. If you join Yahoo, you may be asked to attend (or travel to attend) on-site work sessions, team-building, or other in-person events. When these occur, you’ll be given notice to make arrangements.If you’re curious about how this factors into this role, please discuss with the recruiter.Currently work for Yahoo? Please apply on our internal career site.
"
Machine Learning Engineer,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-masters-india-3412720712?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=3ByTWp5fbEZK3gGuowKp6Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:34:59.569136 MDT,2023-01-08,"
                Masters India
              ","
              Noida, Uttar Pradesh, India
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Software Development
          ","
Company DescriptionMasters India IT Solutions is a growing FinTech SaaS firm, serving over 1500+ enterprises. Masters India is one of the biggest GST Suvidha Providers (GSP) appointed by the Goods and Services Tax Network (GSTN) of Government of India since 2017. Our mission is to build intuitive software solutions for complex problems faced by businesses across the industries. We are fulfilling our mission by offering tax and financial automation products to enterprises.Masters India IT Solutions is a part of 44 year old Masters India group which is into Manufacturing, Healthcare, Hospitality and IT with an aggregate turnover of INR 1000+ Crores.Job DescriptionWe are looking for Machine Learning Engineers to build and implement Masters India’platform based on the latest open source technologies. Job responsibilities will becross-functional - ranging from ""clean"" coding to architectural changes to clientinteractions. Over a period of time you're expected to challenge the existing tech stackand add your baby components to it. A person should be a team player, should have aneye for detail and problem solving skills.Technical Skills**: Python, Tensorflow, Pytorch, Model Training/Testing**Primary Responsibilities**Working on the awesome AI product for document information extraction. Build the next-generation information extraction product powered by state-of-the-artAI and Deep Learning techniques.Work with an international top-notch engineering team with full commitment onMachine Learning development.QualificationsPassionate about search & AI technologies. Open to collaborating with colleagues &external contributors.Good understanding about the mainstream deep learning models from multipledomains: computer vision, NLP, reinforcement learning, model optimization etc.Hands-on experience on deep learning frameworks, e.g. Tensorflow, Pytorch, MXNet,BERT. Able to implement the latest DL model using existing API, open source librariesin a short time.Hands-on experience with the Cloud-Native techniques. Good understanding aboutweb services and modern software technologies.Maintained/contributed machine learning projects, familiar with the agile softwaredevelopment process, CICD workflow, ticket management, code-review, versioncontrol etc.Skilled in the following programming languages: Python 3. Good English skills especially for writing and reading documentationAdditional InformationWHY US ?You’ll be surrounded by passionate team members. Opportunity to experience startup culture. You’ll experience true collaboration. Your work has a visible impact. Opportunities for innovation.
"
Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-northrop-grumman-federal-credit-union-3410788652?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=ajZtp3d2%2BDI0PvoN6V%2Bpaw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:35:04.381963 MDT,2023-01-08,"
                Northrop Grumman Federal Credit Union
              ","
              United States
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Banking
          ","
As a Data Scientist you will apply your skills in programming, modeling, AI and machine learning to cutting-edge problem-solving in financial services using predictive and prescriptive analytics. You will work to develop the right set of questions and hypotheses, using the appropriate tools and skills to derive the best information to address both internal and external customer needs.Our preferred candidate will bring technical expertise in data science, forecasting, and optimization methods and experience with implementation of ML. With a focus on developing and delivering machine learning and time series models and optimization solutions that drive business optimization, operational efficiency, and innovation.The scope of work will be central to critical aspects of the credit union’s success, such as optimizing member engagement; evaluating credit risk, underwriting practices and product pricing; predicting delinquencies; targeted marketing; providing early warning signs of member attrition and actions needed; and developing or evaluating new techniques to serve the membership.Position Requirements5+ years business and/or academic experience working with and analyzing large data sets to solve problems with demonstrated independent project responsibility.A PhD or MS in a quantitative field (e.g., Economics, Statistics, Engineering, Natural Sciences, Operations Research, Computer Science, Software Engineering).Expert knowledge of a scientific computing language (Python) and SQL.Experience with the AZURE ML and AWS ML is a plus but not required.Strong knowledge of statistics, machine learning and optimization.Demonstrated track record of identifying, scoping and carrying out complex data science projects with cross-functional collaboration and quantified results.Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner.A desire to change the financial world for the better and a real desire to help people find success in life and finances.A strong desire to have fun working on very challenging problems. We have a highly collaborative culture of curiosity and celebrating each other's insights and achievements!Please note that the salary information is a general guideline only. Northrop Grumman Federal Credit Union considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/training, key skills, internal peer equity, as well as market and business considerations when extending an offer. We offer a competitive total rewards package including a wide range of medical, dental, vision, financial, and other benefits.NGFCU is an Equal Opportunity EmployerPursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment-qualified applicants with arrest and conviction records.
"
Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-pomeroy-3421457930?refId=GI7BVzb4o4e%2BJtzt0ryIyQ%3D%3D&trackingId=OYIqOR84o3ZxooJeL4Rk1Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-08 16:35:09.051229 MDT,2023-01-08,"
                Pomeroy
              ","
              Marietta, GA
            ","
          180 applicants
        ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
Position Purpose SummaryThe Data Scientist plays a crucial role in the organization and is a key member of supporting all business units. Provides insights to enable sustainable gross profit growth and health of the business. Works closely with Regional Pricing Managers, Category Management, and Product Managers to optimize margin rates.ResponsibilitiesUnderstands the company’s vision, mission, and strategy; understands business unit objectives and sets/accomplishes individual performance goals accordingly.Mine current data assets and connect sales, product, pricing, and rebate databasesIncorporate supplemental data such as lost order data and overrides to develop a holistic view of the sales/pricing processAnalyze business transactions for trendsDefine and implement ERP data transfer automationDevelop pre vs post impact trackingBuild intuitive dashboardsWork with third party pricing software companies and pricing consultantsQualifications3-5 years of helping businesses succeed by using data science and advanced analyticsMaster’s degree in statistics, mathematics, computer science, engineering or similar quantitative fieldContinuous Improvement, Lean 6 Sigma certificationsPower BI, SQL, and Python experience preferredFor over 40 years, Pomeroy has enabled technology that enhances and empowers people in the workplace.Today we partner with our clients to help them transform from a “one size fits all” delivery model to a personalized human experience that is a differentiator and the key to delivering digital transformation and better business outcomes.It’s all about delivering an exceptional experience, one that is simple, intuitive and secure – anytime, anyplace and from any device. Our workplace is no longer a physical location or workstation, rather it’s the place where a person can work at any given time with full capacity to do their job productively and effectively.We deliver that experience by connecting the dots between people and their applications, across a network that is intuitive and automated to where the applications live, today that is in a hybrid IT environment, on premise and in the cloud, with security an integral part of everything we do. We provide managed IT services to support our clients from our locations throughout North America, Latin America and Europe. Our service delivery model combines monitoring, prevention and resolution in an approach that is always aware, proactive and responsive.Our field engineers support more than 50,000 sites across North America alone and respond to more than 3 million incidents and user requests annually covering 2 million desktops, laptops, smartphones and tablets, servers, printers and other peripherals.Our expertise connecting the workplace, network and hybrid IT is industry recognized, including Gartner recognition for over 17 years as one of a select few who can deliver agile, quality Managed Workplace Services. And although technology and innovation are key ingredients in our solutions, our people are our greatest asset. Over 3,000 highly motivated and diverse, dedicated to supporting our 700+ clients, from midsize organizations to large, well-known US and global brands, 15 in the Fortune 500.“The Pomeroy Way” is our guiding principle. It’s a conscious understanding that who we are as individuals and how we choose to interact with others is a direct reflection of who we are as a company and how we will be viewed as an organization. It defines our company and our culture as the place to be, the place to stay and the place to grow.
      "
